scraped_text,source
"Online Shopping India | Buy Mobiles, Electronics, Appliances, Clothing and More Online at Flipkart",Flipkart Public Pages
com Explore Plus Help Center Login Become a Seller More Cart TYPE OF ISSUE Help with your issues Help with your order Help with other issues Help Topics Help Centre Login to get help with your recent orders and issues Log in Want to reach us old style,Flipkart Public Pages
"Here is our Postal Address ABOUT Contact Us About Us Careers Flipkart Stories Press Corporate Information GROUP COMPANIES Myntra Cleartrip Shopsy HELP Payments Shipping Cancellation & Returns FAQ CONSUMER POLICY Cancellation & Returns Terms Of Use Security Privacy Sitemap Grievance Redressal EPR Compliance FSSAI Food Safety Connect App Mail Us: Flipkart Internet Private Limited, Buildings Alyssa, Begonia & Clove Embassy Tech Village, Outer Ring Road, Devarabeesanahalli Village, Bengaluru, 560103, Karnataka, India Social Registered Office Address: Flipkart Internet Private Limited, Buildings Alyssa, Begonia & Clove Embassy Tech Village, Outer Ring Road, Devarabeesanahalli Village, Bengaluru, 560103, Karnataka, India CIN : U51109KA2012PTC066107 Telephone: 044-45614700 / 044-67415800 Become a Seller Advertise Gift Cards Help Center © 2007- 2025 Flipkart",Flipkart Public Pages
Return Policy - Flipkart,Flipkart Public Pages
com Explore Plus Login Become a Seller More Cart Order Cancellation and Return Policy Cancellation Policy The customer can choose to cancel an order any time before it's dispatched,Flipkart Public Pages
The order cannot be canceled once it’s out for delivery,Flipkart Public Pages
"However, the customer may choose to reject it at the doorstep",Flipkart Public Pages
The time window for cancellation varies based on different categories and the order cannot be canceled once the specified time has passed,Flipkart Public Pages
"In some cases, the customer may not be allowed to cancel the order for free, post the specified time and a cancellation fee will be charged",Flipkart Public Pages
The details about the time window mentioned on the product page or order confirmation page will be considered final,Flipkart Public Pages
"In case of any cancellation from the seller due to unforeseen circumstances, a full refund will be initiated for prepaid orders",Flipkart Public Pages
Flipkart reserves the right to accept the cancellation of any order,Flipkart Public Pages
Flipkart also reserves the right to waive off or modify the time window or cancellation fee from time to time,Flipkart Public Pages
"Cancellation Policy - Hyperlocal The Orders placed by you on the Platform are non-cancellable and non-refundable via self serve under MINUTES delivery option owing to quick delivery times, except if cancellation/refund is requested via CX Agent under the following circumstances: The Order could not be delivered within the estimated time that was displayed while placing the order; The Order has not been picked by the Delivery Partner; The Seller has not accepted or has canceled the Order due to reasons not attributable to You",Flipkart Public Pages
"Easy Doorstep Cancellation Any other reason that the Platform may update from time to time We reserve the right to cancel your order, in whole or in part, for reasons including product unavailability, unforeseen circumstances beyond our control (force majeure), suspected fraudulent activity, violation of our Terms of Use, or logistical constraints",Flipkart Public Pages
"In all instances of cancellation (by us), you will not be charged for the canceled order",Flipkart Public Pages
Any payments you have already made will be promptly refunded within 5-7 business days for any cancellations,Flipkart Public Pages
You can track the status of your refund on the Order Details page/section,Flipkart Public Pages
"Our return, cancellation, and refund policies may be subject to additional reasonable terms and conditions",Flipkart Public Pages
These will be communicated to you periodically through the Platform's push notifications or other communication methods as outlined within these Terms or as determined by the Company,Flipkart Public Pages
"Returns Policy Returns is a scheme provided by respective sellers directly under this policy in terms of which the option of exchange, replacement and/ or refund is offered by the respective sellers to you",Flipkart Public Pages
All products listed under a particular category may not have the same returns policy,Flipkart Public Pages
"For all products, the returns/replacement policy provided on the product page shall prevail over the general returns policy",Flipkart Public Pages
Do refer the respective item's applicable return/replacement policy on the product page for any exceptions to this returns policy and the table below The return policy is divided into three parts; Do read all sections carefully to understand the conditions and cases under which returns will be accepted,Flipkart Public Pages
"Part 1 – Category, Return Window and Actions possible Category Returns Window, Actions Possible and Conditions (if any) Furniture Home: Pet Supplies & Rest of Home",Flipkart Public Pages
"(Except Home décor, Furnishing, Home Improvement Tools, Household Items) 10 days Refund or Replacement For products requiring installation, returns shall be eligible only when such products are installed by the brand&#39;s authorized personnel",Flipkart Public Pages
"In order to help you resolve issues with your product, we may troubleshoot your product either through online tools, over the phone, and/or through an in-person technical visit",Flipkart Public Pages
"If a defect is determined within the Returns Window, a refund/replacement of the same product will be provided at no additional cost",Flipkart Public Pages
"If no defect is confirmed or the issue is not diagnosed within 10 days of delivery or Installation wherever applicable, you will be directed to a brand service centre to resolve any subsequent issues",Flipkart Public Pages
